bank_name,transaction_date,year,month_num,month_name,debit_transactions,debit_amount,credit_transactions,credit_amount,total_transactions,total_amount,avg_debit_ticket_size,avg_credit_ticket_size,net_amount_flow
INDIA POST PAYMENTS BANK,2020-01-01,2020,1,January,201757,5692.64,107307,1922.33,309064,7614.97,0.028215328340528457,0.017914301956069967,-3770.3100000000004
INDIAN BANK,2020-01-01,2020,1,January,1400789,97421.01,5108516,226859.07,6509305,324280.08,0.0695472408763918,0.04440801790578712,129438.06000000001
INDIAN OVERSEAS BANK,2020-01-01,2020,1,January,1709528,104387.11,4040315,164855.33,5749843,269242.44,0.06106194809327487,0.04080259336215122,60468.21999999999
INDUSIND BANK,2020-01-01,2020,1,January,3873219,326458.61,2018865,258152.53,5892084,584611.14,0.0842861222151394,0.12787012999878644,-68306.07999999999
INDUSTRIAL AND CO-OP BANK OF CHINA,2020-01-01,2020,1,January,834,2054.36,119,2714.14,953,4768.5,2.4632613908872902,22.807899159663865,659.7799999999997
INDUSTRIAL BANK OF KOREA,2020-01-01,2020,1,January,1718,773.54,251,1339.17,1969,2112.71,0.45025611175785796,5.335338645418327,565.6300000000001
IRINJALAKUDA TOWN CO-OP BANK,2020-01-01,2020,1,January,1375,59.27,935,58.53,2310,117.80000000000001,0.04310545454545455,0.06259893048128343,-0.740000000000002
JALGAON JANATA SAHKARI BANK,2020-01-01,2020,1,January,13584,638.11,22282,1615.4,35866,2253.51,0.046975117785630155,0.07249798043263621,977.2900000000001
JALGAON PEOPLES CO-OP BANK,2020-01-01,2020,1,January,7676,849.76,30435,1225.02,38111,2074.7799999999997,0.11070349140177176,0.04025036964021685,375.26
JAMMU AND KASHMIR BANK,2020-01-01,2020,1,January,472178,42311.25,471985,31697.12,944163,74008.37,0.08960868570750861,0.06715704948250474,-10614.130000000001
JANA SMALL FINANCE BANK,2020-01-01,2020,1,January,56984,4285.69,18938,3437.46,75922,7723.15,0.07520865506106977,0.18151124722779596,-848.2299999999996
JANAKALYAN SAHAKARI BANK,2020-01-01,2020,1,January,18260,1316.14,40341,1796.61,58601,3112.75,0.07207776560788609,0.04453558414516249,480.4699999999998
JANATA SAHAKARI BANK,2020-01-01,2020,1,January,83679,5223.56,107369,6412.64,191048,11636.2,0.06242378613511156,0.05972524657955276,1189.08
JANSEVA SAHAKARI BANK BORIVILI,2020-01-01,2020,1,January,5782,250.89,9459,397.48,15241,648.37,0.04339156001383604,0.04202135532297283,146.59000000000003
JANSEVA SAHAKARI BANK PUNE,2020-01-01,2020,1,January,10757,783.15,40912,1266.52,51669,2049.67,0.07280375569396672,0.030957176378568634,483.37
JIO PAYMENTS BANK,2020-01-01,2020,1,January,2451,18.25,2579,2.55,5030,20.8,0.0074459404324765405,0.0009887553315238464,-15.7
JP MORGAN BANK,2020-01-01,2020,1,January,440299,63731.82,17262,59339.79,457561,123071.61,0.14474668350370998,3.4375964546402504,-4392.029999999999
KALLAPPANNA AWADE IJSB,2020-01-01,2020,1,January,20782,1037.39,24922,1667.76,45704,2705.15,0.04991771725531711,0.06691918786614236,630.3699999999999
KALUPUR COMM CO-OP BANK,2020-01-01,2020,1,January,68485,5839.01,106580,8777.24,175065,14616.25,0.0852596919033365,0.08235353724901483,2938.2299999999996
KALYAN JANATA SAHAKARI BANK,2020-01-01,2020,1,January,15496,1316.45,51314,1974.29,66810,3290.74,0.08495418172431596,0.03847468527107612,657.8399999999999
KARAD URBAN CO-OP BANK,2020-01-01,2020,1,January,20499,1186.63,32761,2878.05,53260,4064.6800000000003,0.05788721401043954,0.08784988248221971,1691.42
KARNATAKA BANK,2020-01-01,2020,1,January,530756,35099.21,1456316,65854.96,1987072,100954.17000000001,0.06613059484961074,0.04522024066205412,30755.750000000007
KARNATAKA STATE CO-OP APEX BANK,2020-01-01,2020,1,January,72113,3502.58,94684,5408.28,166797,8910.86,0.04857071540498939,0.057119259853829575,1905.6999999999998
KARNATAKA VIKAS GRAMEEN BANK,2020-01-01,2020,1,January,80651,8835.77,206164,7605.11,286815,16440.88,0.10955561617338905,0.03688864205195863,-1230.6600000000008
KARUR VYSYA BANK,2020-01-01,2020,1,January,1077987,74568.85,1547042,87983.57,2625029,162552.42,0.0691741644379756,0.05687212758283228,13414.720000000001
KAVERI GRAMEENA BANK,2020-01-01,2020,1,January,0,0.0,18405,295.33,18405,295.33,0.0,0.01604618310241782,295.33
KERALA GRAMIN BANK,2020-01-01,2020,1,January,89608,3768.78,340871,10042.88,430479,13811.66,0.04205852156057495,0.029462406599564055,6274.0999999999985
KOREA EXCHANGE BANK,2020-01-01,2020,1,January,2485,4614.33,829,3544.61,3314,8158.9400000000005,1.8568732394366196,4.2757659831121835,-1069.7199999999998
KOTAK MAHINDRA BANK,2020-01-01,2020,1,January,8537090,620363.53,5636467,654502.47,14173557,1274866.0,0.0726668607218619,0.11611927649004243,34138.939999999944
KOZHIKODE DIST CO-OP BANK,2020-01-01,2020,1,January,7247,455.34,11391,733.41,18638,1188.75,0.06283151648958189,0.06438504082170134,278.07
KRUNG THAI BANK PCL,2020-01-01,2020,1,January,72,6.92,21,12.95,93,19.869999999999997,0.0961111111111111,0.6166666666666666,6.029999999999999
KURMANCHAL NAGAR SAHAKARI BANK,2020-01-01,2020,1,January,17110,1252.33,15833,1173.89,32943,2426.2200000000003,0.07319286966686148,0.07414198193646182,-78.43999999999983
LAKSHMI VILAS BANK,2020-01-01,2020,1,January,386605,18491.19,371333,22416.93,757938,40908.119999999995,0.04782967111134103,0.06036880643519429,3925.7400000000016
MAHANAGAR CO-OP BANK,2020-01-01,2020,1,January,18198,1262.42,52697,2195.3,70895,3457.7200000000003,0.06937135949005385,0.041658917964969545,932.8800000000001
MAHARASHTRA GRAMIN BANK,2020-01-01,2020,1,January,94924,12185.9,456385,10445.75,551309,22631.65,0.1283753318444229,0.022888022174260766,-1740.1499999999996
MAHARASHTRA STATE CO-OP BANK,2020-01-01,2020,1,January,7036,3852.39,15127,10261.97,22163,14114.359999999999,0.5475255827174531,0.6783876512196734,6409.58
MAHESH SAHAKARI BANK,2020-01-01,2020,1,January,7074,593.37,6410,528.33,13484,1121.7,0.08388040712468194,0.08242277691107645,-65.03999999999996
MASHREQ BANK,2020-01-01,2020,1,January,866,409.16,71,334.42,937,743.58,0.4724711316397229,4.7101408450704225,-74.74000000000001
MEHSANA URBAN CO-OP BANK,2020-01-01,2020,1,January,42454,2876.94,66833,5931.45,109287,8808.39,0.06776605266877091,0.08875031795669804,3054.5099999999998
MIZUHO CORP BANK,2020-01-01,2020,1,January,32040,14712.35,7130,21495.43,39170,36207.78,0.45918695380774033,3.0147868162692846,6783.08
MUMBAI DIST CENTRAL CO-OP BANK,2020-01-01,2020,1,January,15872,1019.54,30696,2246.48,46568,3266.02,0.0642351310483871,0.07318477977586656,1226.94
MUNICIPAL CO-OP BANK,2020-01-01,2020,1,January,3782,194.07,4962,140.17,8744,334.24,0.051314119513484927,0.028248690044336958,-53.900000000000006
NABARD BANK,2020-01-01,2020,1,January,16638,5542.72,353,29352.45,16991,34895.17,0.3331361942541171,83.1514164305949,23809.73
NAGAR URBAN CO-OP BANK,2020-01-01,2020,1,January,12773,864.03,11589,897.59,24362,1761.62,0.06764503249040946,0.07745189403744931,33.56000000000006
NAGPUR NAGRIK SAHAKARI BANK,2020-01-01,2020,1,January,14341,846.77,22138,1482.61,36479,2329.38,0.05904539432396625,0.06697127111753545,635.8399999999999
NAINITAL BANK,2020-01-01,2020,1,January,48856,3172.1,89108,5160.79,137964,8332.89,0.064927542164729,0.05791612425371459,1988.69
NATIONAL BANK OF ABU DHABI PJSC,2020-01-01,2020,1,January,887,1901.03,23,895.15,910,2796.18,2.1432130777903042,38.9195652173913,-1005.88
NAV JEEVAN CO-OP BANK,2020-01-01,2020,1,January,3504,343.07,2783,240.47,6287,583.54,0.09790810502283105,0.08640675530003593,-102.6
NEW INDIA CO-OP BANK,2020-01-01,2020,1,January,18784,817.19,42147,1455.25,60931,2272.44,0.04350457836456559,0.0345279616580065,638.06
NILAMBUR CO-OP URBAN BANK,2020-01-01,2020,1,January,2487,128.06,2686,104.47,5173,232.53,0.05149175713711299,0.03889426656738645,-23.590000000000003
NKGSB BANK,2020-01-01,2020,1,January,61602,4399.65,99207,5309.18,160809,9708.83,0.07142057076068958,0.053516183333837335,909.5300000000007
NORTH EAST SMALL FINANCE BANK,2020-01-01,2020,1,January,18216,815.36,2217,68.45,20433,883.8100000000001,0.044760649978041286,0.030875056382498874,-746.91
NSDL PAYMENTS BANK,2020-01-01,2020,1,January,197,14.04,218,8.22,415,22.259999999999998,0.07126903553299492,0.037706422018348625,-5.8199999999999985
NUTAN NAGARIK SAHAKARI BANK,2020-01-01,2020,1,January,26083,1355.0,32671,2128.7,58754,3483.7,0.051949545681094965,0.06515564261883627,773.6999999999998
ODISHA STATE CO-OP BANK,2020-01-01,2020,1,January,5864,86.86,222,28.29,6086,115.15,0.014812414733969987,0.12743243243243244,-58.57
ORIENTAL BANK OF COMMERCE,2020-01-01,2020,1,January,1551609,95543.54,3070954,178153.53,4622563,273697.07,0.061577072574340565,0.058012438480029335,82609.99
PAYTM PAYMENTS BANK,2020-01-01,2020,1,January,293641,43742.39,768703,58517.21,1062344,102259.6,0.14896553955340025,0.0761246020894936,14774.82
PRAGATHI KRISHNA GRAMIN BANK,2020-01-01,2020,1,January,100903,37923.81,301991,18748.65,402894,56672.46,0.3758442266334995,0.06208347268627211,-19175.159999999996
PRIME CO-OP BANK SURAT,2020-01-01,2020,1,January,21411,1449.32,24257,1155.97,45668,2605.29,0.06769043949371818,0.04765510986519356,-293.3499999999999
PUNJAB AND SIND BANK,2020-01-01,2020,1,January,313430,23502.24,1052103,47488.4,1365533,70990.64,0.07498401556966468,0.04513664536647077,23986.16
PUNJAB NATIONAL BANK,2020-01-01,2020,1,January,4340238,342051.84,12608486,648438.78,16948724,990490.6200000001,0.07880946620899591,0.05142875837749275,306386.94
PUSAD URBAN CO-OP BANK,2020-01-01,2020,1,January,12,0.0,3,0.21,15,0.21,0.0,0.06999999999999999,0.21
QATAR NATIONAL BANK,2020-01-01,2020,1,January,22,2849.7,19,80.11,41,2929.81,129.53181818181818,4.2163157894736845,-2769.5899999999997
RABOBANK INTERNATIONAL,2020-01-01,2020,1,January,2810,889.19,212,1593.05,3022,2482.24,0.31643772241992885,7.51438679245283,703.8599999999999
RAJARAMBAPU SAHAKARI BANK,2020-01-01,2020,1,January,16565,1964.17,6625,1250.52,23190,3214.69,0.11857349833987323,0.1887577358490566,-713.6500000000001
RAJASTHAN MARUDHARA GRAMIN BANK,2020-01-01,2020,1,January,64381,4978.69,1330078,6688.24,1394459,11666.93,0.07733166617480312,0.005028456977711081,1709.5500000000002
RAJGURUNAGAR SAHAKARI BANK,2020-01-01,2020,1,January,13587,508.78,21504,655.51,35091,1164.29,0.03744608817251784,0.030483165922619047,146.73000000000002
RAJKOT NAGARIK SAHAKARI BANK,2020-01-01,2020,1,January,19131,1160.33,36690,1516.6,55821,2676.93,0.060651821650723955,0.04133551376396838,356.27
RBI PAD,2020-01-01,2020,1,January,46154448,2194667.27,1778992,344701.14,47933440,2539368.41,0.04755050412475955,0.19376205176864203,-1849966.13
RBL BANK,2020-01-01,2020,1,January,3546945,135332.24,1180334,123449.42,4727279,258781.65999999997,0.03815459219130829,0.10458854866503887,-11882.819999999992
SAMARTH SAHAKARI BANK SOLAPUR,2020-01-01,2020,1,January,7943,361.93,11194,367.56,19137,729.49,0.04556590708800202,0.0328354475611935,5.6299999999999955
SANT SOPANKAKA SAHAKARI BANK,2020-01-01,2020,1,January,2795,119.94,1890,110.24,4685,230.18,0.042912343470483005,0.058328042328042326,-9.700000000000003
SARASPUR NAGRIK CO-OP BANK,2020-01-01,2020,1,January,6831,567.74,2186,158.02,9017,725.76,0.08311228224271702,0.07228728270814273,-409.72
SARASWAT CO-OP BANK,2020-01-01,2020,1,January,381908,25030.37,676850,41453.68,1058758,66484.05,0.06554031337390157,0.06124500258550639,16423.31
SATARA SAHAKARI BANK,2020-01-01,2020,1,January,1990,224.85,28,3.02,2018,227.87,0.11298994974874371,0.10785714285714286,-221.82999999999998
SBER BANK,2020-01-01,2020,1,January,188,91.39,54,100.41,242,191.8,0.48611702127659573,1.8594444444444445,9.019999999999996
SBM BANK INDIA,2020-01-01,2020,1,January,2773,1489.77,2022,3146.8,4795,4636.57,0.5372412549585287,1.556280909990109,1657.0300000000002
SEVA VIKAS CO-OP BANK,2020-01-01,2020,1,January,6524,309.24,29456,830.38,35980,1139.62,0.04740036787247088,0.02819052145573058,521.14
SHAMRAO VITHAL CO-OP BANK,2020-01-01,2020,1,January,227482,14384.66,377231,20351.17,604713,34735.83,0.06323427787693092,0.05394882711123953,5966.509999999998
SHIKSHAK SAHAKARI BANK,2020-01-01,2020,1,January,5155,348.29,7816,417.07,12971,765.36,0.06756353055286131,0.05336105424769703,68.77999999999997
SHINHAN BANK,2020-01-01,2020,1,January,29094,12268.23,19250,14426.98,48344,26695.21,0.42167560321715813,0.7494535064935065,2158.75
SHIVALIK MERCANTILE CO-OP BANK,2020-01-01,2020,1,January,12280,780.19,12179,821.9,24459,1602.0900000000001,0.06353338762214984,0.06748501519008128,41.70999999999992
SHRI CHHATRAPATI SHAHU URBAN CO-OP BANK,2020-01-01,2020,1,January,19569,1132.17,13149,933.9,32718,2066.07,0.05785528131227963,0.07102441250285192,-198.2700000000001
SHRI VEERSHAIV CO-OP BANK,2020-01-01,2020,1,January,4427,380.44,2719,212.69,7146,593.13,0.08593629997741134,0.07822361162191982,-167.75
SINDHUDURG DCCB,2020-01-01,2020,1,January,8669,395.74,11623,238.91,20292,634.65,0.0456500173030338,0.0205549341822249,-156.83
SIR M. VISVESWARAYA CO-OP BANK,2020-01-01,2020,1,January,2079,601.77,2064,256.73,4143,858.5,0.28945165945165946,0.12438468992248063,-345.03999999999996
SOCIETE GENERALE,2020-01-01,2020,1,January,10266,5566.71,624,805.15,10890,6371.86,0.5422472238457042,1.290304487179487,-4761.56
SOLAPUR JANATA SAHAKARI BANK,2020-01-01,2020,1,January,11824,1506.66,19882,1443.11,31706,2949.77,0.12742388362652232,0.07258374409013177,-63.55000000000018
SOUTH INDIAN BANK,2020-01-01,2020,1,January,867126,55486.62,1023416,58983.08,1890542,114469.70000000001,0.06398910884923299,0.05763353318689565,3496.459999999999
STANDARD CHARTERED BANK,2020-01-01,2020,1,January,5217599,488524.11,1848218,414722.64,7065817,903246.75,0.09363006049334185,0.22439054267407849,-73801.46999999997
STATE BANK OF INDIA,2020-01-01,2020,1,January,22585672,2674984.33,62516886,3192540.69,85102558,5867525.02,0.11843722560037177,0.05106685400165325,517556.35999999987
SUMITOMO MITSUI BANKING CORP,2020-01-01,2020,1,January,19916,11384.2,4853,17778.25,24769,29162.45,0.5716107652138984,3.6633525654234496,6394.049999999999
SURAT DIST CO-OP BANK,2020-01-01,2020,1,January,19609,1516.43,43512,1885.85,63121,3402.2799999999997,0.07733336733132745,0.043340917448060304,369.41999999999985
SURAT NATIONAL CO-OP BANK,2020-01-01,2020,1,January,13479,935.08,15347,700.28,28826,1635.3600000000001,0.06937309889457675,0.045629764774874564,-234.80000000000007
SURAT PEOPLES CO-OP BANK,2020-01-01,2020,1,January,39783,3017.82,48877,2526.65,88660,5544.47,0.07585702435713748,0.05169404832538822,-491.1700000000001
SURYODAY SMALL FINANCE BANK,2020-01-01,2020,1,January,94859,5308.22,9472,738.64,104331,6046.860000000001,0.055959055018501146,0.07798141891891892,-4569.58
SUTEX CO-OP BANK,2020-01-01,2020,1,January,27666,931.71,27035,1469.31,54701,2401.02,0.03367707655606159,0.05434843721102275,537.5999999999999
SYNDICATE BANK,2020-01-01,2020,1,January,1517206,154819.73,4045476,207004.49,5562682,361824.22,0.10204265604011585,0.05116937784329952,52184.75999999998
TAMIL NADU STATE APEX CO-OP BANK,2020-01-01,2020,1,January,122045,3798.02,104202,5415.87,226247,9213.89,0.03111983284853947,0.0519747221742385,1617.85
TAMILNADU MERCANTILE BANK,2020-01-01,2020,1,January,479039,32767.11,745869,42746.88,1224908,75513.98999999999,0.068401758520705,0.05731151180703314,9979.769999999997
TELANGANA STATE CO-OP APEX BANK,2020-01-01,2020,1,January,54255,3597.2,199555,5129.82,253810,8727.02,0.06630172334347065,0.025706296509734158,1532.62
TEXTILE TRADERS CO-OP BANK,2020-01-01,2020,1,January,2437,104.42,2058,163.96,4495,268.38,0.04284776364382437,0.07966958211856172,59.540000000000006
THANE BHARAT SAHAKARI BANK,2020-01-01,2020,1,January,13522,1322.4,30960,1760.54,44482,3082.94,0.09779618399645024,0.05686498708010336,438.1399999999999
THANE DIST CENTRAL CO-OP BANK,2020-01-01,2020,1,January,15886,6590.53,92927,3671.1,108813,10261.63,0.41486403122246,0.03950520300881337,-2919.43
THANE JANATA SAHAKARI BANK,2020-01-01,2020,1,January,106769,7290.52,216401,11036.48,323170,18327.0,0.06828311588569716,0.0510001340104713,3745.959999999999
A P MAHESH URBAN CO-OP BANK,2020-01-01,2020,1,January,21724,5545.03,35737,2889.19,57461,8434.22,0.25524903332719573,0.08084590200632398,-2655.8399999999997
AJARA URBAN CO-OP BANK,2020-01-01,2020,1,January,0,0.0,13,0.11,13,0.11,0.0,0.008461538461538461,0.11
AP STATE CO-OP BANK,2020-01-01,2020,1,January,45263,1884.47,56966,3138.65,102229,5023.12,0.041633784769016635,0.055096899905206616,1254.18
BARAMATI SAHAKARI BANK,2020-01-01,2020,1,January,8326,555.67,13945,806.98,22271,1362.65,0.0667391304347826,0.057868770168519185,251.31000000000006
GADCHIROLI DIST CO-OP BANK,2020-01-01,2020,1,January,7107,830.62,63973,1213.57,71080,2044.19,0.11687350499507528,0.018970034233192126,382.94999999999993
GUJARAT STATE CO-OP BANK,2020-01-01,2020,1,January,108273,9134.33,477304,19057.41,585577,28191.739999999998,0.08436387649737238,0.039927195246635266,9923.08
HARYANA STATE CO-OP APEX BANK,2020-01-01,2020,1,January,2051,81.73,2544,226.44,4595,308.17,0.039848854217454904,0.08900943396226416,144.70999999999998
HASTI CO-OP BANK,2020-01-01,2020,1,January,6757,384.35,7653,601.88,14410,986.23,0.05688175225691875,0.07864628250359336,217.52999999999997
KANGRA CENTRAL CO-OP BANK,2020-01-01,2020,1,January,52416,1373.59,56539,1785.0,108955,3158.59,0.026205547924297922,0.03157112789402006,411.4100000000001
KANGRA CO-OP BANK,2020-01-01,2020,1,January,4509,384.84,15268,444.31,19777,829.15,0.08534930139720558,0.02910073356038774,59.47000000000003
KERALA STATE CO-OP BANK,2020-01-01,2020,1,January,1145,27.99,3236,608.1,4381,636.09,0.024445414847161572,0.18791718170580965,580.11
MALKAPUR URBAN CO-OP OP BANK,2020-01-01,2020,1,January,105,10.86,375,61.26,480,72.12,0.10342857142857143,0.16336,50.4
MUSLIM CO-OP BANK,2020-01-01,2020,1,January,1538,95.87,679,46.37,2217,142.24,0.06233420026007803,0.06829160530191458,-49.50000000000001
NASIK MERCHANTS CO-OP BANK,2020-01-01,2020,1,January,15593,812.02,21922,1057.93,37515,1869.95,0.052075931507727824,0.048258826749384184,245.91000000000008
NAVNIRMAN CO-OP BANK,2020-01-01,2020,1,January,7827,1519.02,10940,675.46,18767,2194.48,0.19407435799156764,0.06174223034734918,-843.56
PANDHARPUR URBAN CO-OP BANK,2020-01-01,2020,1,January,4441,238.52,4720,867.02,9161,1105.54,0.0537086241837424,0.1836906779661017,628.5
RAJASTHAN STATE CO-OP BANK,2020-01-01,2020,1,January,51934,2869.53,424844,4042.77,476778,6912.3,0.05525339854430624,0.009515892892449935,1173.2399999999998
SAHEBRAO DESHMUKH CO-OP BANK,2020-01-01,2020,1,January,3354,787.31,9816,413.3,13170,1200.61,0.23473762671437087,0.04210472697636512,-374.00999999999993
URBAN CO-OP BANK,2020-01-01,2020,1,January,1971,220.86,629,45.96,2600,266.82,0.11205479452054795,0.07306836248012719,-174.9
VARACHHA CO-OP BANK,2020-01-01,2020,1,January,26834,1875.61,55534,1658.72,82368,3534.33,0.06989677275098755,0.02986854899701084,-216.88999999999987
VIJAY CO-OP OP BANK,2020-01-01,2020,1,January,4447,273.94,2077,130.07,6524,404.01,0.06160107937935687,0.06262397688974482,-143.87
VISHWESHWAR SAHAKARI BANK,2020-01-01,2020,1,January,11438,721.61,25498,1352.73,36936,2074.34,0.06308882671795768,0.053052396266373834,631.12
ZOROASTRIAN CO-OP BANK,2020-01-01,2020,1,January,5882,296.49,8316,729.09,14198,1025.58,0.05040632437946277,0.08767316017316018,432.6
THRISSUR DIST CO-OP BANK,2020-01-01,2020,1,January,5531,394.7,8235,566.68,13766,961.3799999999999,0.07136141746519617,0.06881360048573162,171.97999999999996
TUMKUR GRAIN MERCHANTS CO-OP BANK,2020-01-01,2020,1,January,9466,655.14,6591,558.75,16057,1213.8899999999999,0.06920980350728924,0.08477469276285844,-96.38999999999999
UCO BANK,2020-01-01,2020,1,January,739487,46720.94,3246937,101241.73,3986424,147962.66999999998,0.06318020465538948,0.031180688137774155,54520.78999999999
UJJIVAN SMALL FINANCE BANK,2020-01-01,2020,1,January,47195,3079.03,111483,7620.38,158678,10699.41,0.06524059752092383,0.06835463702986105,4541.35
UNION BANK OF INDIA,2020-01-01,2020,1,January,2763736,221039.78,6942569,404499.34,9706305,625539.12,0.07997861590253194,0.058263639871638295,183459.56000000003
UNITED BANK OF INDIA,2020-01-01,2020,1,January,1138256,60517.34,4270620,110577.59,5408876,171094.93,0.053166721721651364,0.02589263151486201,50060.25
UNITED OVERSEAS BANK,2020-01-01,2020,1,January,74,6.72,21,711.14,95,717.86,0.09081081081081081,33.86380952380952,704.42
UTKARSH SMALL FINANCE BANK,2020-01-01,2020,1,January,214888,7100.55,23253,2223.95,238141,9324.5,0.0330430270652619,0.09564142261213605,-4876.6
UTTAR PRADESH CO-OP BANK,2020-01-01,2020,1,January,27080,6186.64,761,981.09,27841,7167.7300000000005,0.2284579025110783,1.2892115637319317,-5205.55
VASAI JANATA SAHAKARI BANK,2020-01-01,2020,1,January,3717,764.89,5735,210.66,9452,975.55,0.20578154425612052,0.03673234524847428,-554.23
VASAI VIKAS SAHAKARI BANK,2020-01-01,2020,1,January,6449,444.74,21417,976.59,27866,1421.33,0.06896262986509537,0.045598823364616896,531.85
VIJAYA BANK,2020-01-01,2020,1,January,826912,52688.65,2141806,105598.37,2968718,158287.02,0.06371736049301498,0.049303424306403096,52909.719999999994
WEST BENGAL STATE CO-OP BANK,2020-01-01,2020,1,January,1415273,23487.9,200556,38899.69,1615829,62387.590000000004,0.016596020697066928,0.19395924330361597,15411.79
WESTPAC BANKING CORP,2020-01-01,2020,1,January,4,0.3,3,0.0,7,0.3,0.075,0.0,-0.3
WOORI BANK,2020-01-01,2020,1,January,17369,2365.05,1761,4476.92,19130,6841.97,0.13616500662099143,2.542260079500284,2111.87
YES BANK,2020-01-01,2020,1,January,18572876,633105.2,3949919,466538.98,22522795,1099644.18,0.03408762326308537,0.11811355625267252,-166566.21999999997
ZILA SAHKARI BANK GHAZIABAD,2020-01-01,2020,1,January,2147,169.24,13002,408.66,15149,577.9000000000001,0.07882626921285515,0.03143054914628519,239.42000000000002
ABHYUDAYA CO-OP BANK,2020-02-01,2020,2,February,110234,4399.13,225959,8256.9,336193,12656.029999999999,0.0399071974164051,0.036541584977805706,3857.7699999999995
ABU DHABI COMMERCIAL BANK,2020-02-01,2020,2,February,104,0.61,95,0.51,199,1.12,0.005865384615384615,0.005368421052631579,-0.09999999999999998
ADITYA BIRLA IDEA PAYMENTS BANK,2020-02-01,2020,2,February,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
AHMEDABAD MERCANTILE CO-OP BANK,2020-02-01,2020,2,February,21540,1909.4,36571,2502.156,58111,4411.5560000000005,0.08864438254410399,0.06841912991167864,592.7559999999999
AHMEDNAGAR MERCHANTS CO-OP BANK,2020-02-01,2020,2,February,10892,1154.84,11116,914.668,22008,2069.508,0.106026441424899,0.08228391507736596,-240.1719999999999
AIRTEL PAYMENTS BANK,2020-02-01,2020,2,February,278293,33523.49,255968,8663.912,534261,42187.402,0.12046113269108456,0.03384763720465058,-24859.577999999998
AKOLA DIST CENTRAL CO-OP BANK,2020-02-01,2020,2,February,16773,1273.4,191354,3803.469,208127,5076.869000000001,0.07591963274309903,0.019876610888719337,2530.069
AKOLA JANATA COMMERCIAL CO-OP BANK,2020-02-01,2020,2,February,18002,1242.16,15994,1609.689,33996,2851.849,0.06900122208643485,0.1006433037389021,367.529
ALLAHABAD BANK,2020-02-01,2020,2,February,1367874,90581.74,4111903,154557.451,5479777,245139.191,0.0662208215084138,0.037587815422688714,63975.710999999996
ALMORA URBAN CO-OP BANK,2020-02-01,2020,2,February,16883,558.33,22461,815.687,39344,1374.017,0.0330705443345377,0.03631570277369663,257.35699999999997
AMBARNATH JAI HIND CO-OP BANK,2020-02-01,2020,2,February,2163,159.12,8816,187.111,10979,346.231,0.07356449375866851,0.02122402450090744,27.990999999999985
ANDHRA BANK,2020-02-01,2020,2,February,1172443,111700.91,3880493,211207.712,5052936,322908.622,0.09527193219627735,0.054428061589081596,99506.802
ANDHRA PRADESH GRAMEEN VIKAS BANK,2020-02-01,2020,2,February,71254,4020.29,288372,10660.223,359626,14680.512999999999,0.056421955258652144,0.03696691426352073,6639.933
ANDHRA PRAGATHI GRAMEENA BANK,2020-02-01,2020,2,February,48260,3463.53,255531,5231.508,303791,8695.038,0.07176813095731455,0.02047308545734177,1767.9779999999996
ANZ BANKING GROUP,2020-02-01,2020,2,February,33251,9562.4,7366,13590.472,40617,23152.872,0.28758232835102704,1.8450274232962258,4028.072
APANA SAHAKARI BANK,2020-02-01,2020,2,February,17122,1255.44,67496,2771.402,84618,4026.842,0.07332320990538489,0.041060240606850776,1515.962
AU SMALL FINANCE BANK,2020-02-01,2020,2,February,197174,23813.69,190686,28303.801,387860,52117.490999999995,0.12077500076074939,0.14843145799901408,4490.111000000001
AXIS BANK,2020-02-01,2020,2,February,22882103,1195397.37,10925662,1121148.057,33807765,2316545.427,0.052241586798206445,0.10261602976551902,-74249.31300000008
BANK N PARIBAS,2020-02-01,2020,2,February,339499,106325.55,152237,158907.372,491736,265232.922,0.3131836912627136,1.043815708402031,52581.822
BANDHAN BANK,2020-02-01,2020,2,February,501628,27885.78,555552,29473.327,1057180,57359.107,0.05559055714593284,0.053052328134900066,1587.5470000000023
BANK INTERNASIONAL INDONESIA,2020-02-01,2020,2,February,1172,246.62,41,4.116,1213,250.736,0.21042662116040955,0.10039024390243902,-242.50400000000002
BANK OF AMERICA,2020-02-01,2020,2,February,643561,131761.18,114358,113308.121,757919,245069.30099999998,0.20473767055492795,0.9908193655013204,-18453.058999999994
BANK OF BAHARIEN AND KUWAIT,2020-02-01,2020,2,February,15293,5507.69,2928,1827.576,18221,7335.266,0.3601445105603871,0.624172131147541,-3680.1139999999996
BANK OF BARODA,2020-02-01,2020,2,February,4230826,383434.35,12882472,500795.235,17113298,884229.585,0.09062872120006825,0.03887415668359302,117360.88500000001
BANK OF CEYLON,2020-02-01,2020,2,February,2115,87.05,601,260.39,2716,347.44,0.04115839243498818,0.433261231281198,173.33999999999997
BANK OF INDIA,2020-02-01,2020,2,February,2585126,138592.62,9693503,420495.232,12278629,559087.852,0.0536115531699422,0.043379078956286496,281902.612
BANK OF MAHARASHTRA,2020-02-01,2020,2,February,1221547,87457.16,3241112,162711.444,4462659,250168.604,0.07159541139227553,0.050202351538607734,75254.28399999999
BANK OF NOVA SCOTIA,2020-02-01,2020,2,February,544,5015.71,637,4925.396,1181,9941.106,9.220055147058824,7.732175824175823,-90.3140000000003
