bank_name,transaction_date,year,month_num,month_name,debit_transactions,debit_amount,credit_transactions,credit_amount,total_transactions,total_amount,avg_debit_ticket_size,avg_credit_ticket_size,net_amount_flow
DENA BANK,2010-02-01,2010,2,February,7775,275.611,25839,1405.684,33614,1681.295,0.035448360128617365,0.05440164093037656,1130.0729999999999
DEUTSCHE BANK,2010-02-01,2010,2,February,191845,15417.863,58629,8683.645,250474,24101.508,0.0803662487945998,0.1481117706254584,-6734.217999999999
DEVELOPMENT BANK OF SINGAPORE,2010-02-01,2010,2,February,3401,147.263,264,72.106,3665,219.369,0.04329991179064981,0.27312878787878786,-75.15700000000001
DEVELOPMENT CREDIT BANK,2010-02-01,2010,2,February,4558,333.082,9449,514.579,14007,847.661,0.07307634927599824,0.05445856704413165,181.49699999999996
DHANALAKSHMI BANK,2010-02-01,2010,2,February,4514,132.006,8249,275.727,12763,407.73299999999995,0.02924368630926008,0.03342550612195418,143.72099999999998
DICGC BANK,2010-02-01,2010,2,February,0,0.0,2,0.117,2,0.117,0.0,0.0585,0.117
DOMBIVLI NAGRIK SAHAKARI BANK,2010-02-01,2010,2,February,579,22.223,1538,40.163,2117,62.385999999999996,0.03838169257340242,0.02611378413524057,17.939999999999998
FEDERAL BANK,2010-02-01,2010,2,February,41187,1378.601,61864,2352.669,103051,3731.27,0.03347175079515381,0.03802969416785206,974.0679999999998
GREATER BOMBAY CO-OP BANK,2010-02-01,2010,2,February,566,8.954,1577,43.927,2143,52.881,0.015819787985865724,0.027854787571337983,34.973
HDFC BANK,2010-02-01,2010,2,February,1066174,47181.095,839743,51735.694,1905917,98916.789,0.044252715785603476,0.06160896131316367,4554.599000000002
HSBC BANK,2010-02-01,2010,2,February,342616,27578.31,112681,10852.368,455297,38430.678,0.08049335115698042,0.09631054037504105,-16725.942000000003
ICICI BANK,2010-02-01,2010,2,February,752462,20223.241,900361,30516.054,1652823,50739.295,0.026876096068638684,0.03389313175492941,10292.812999999998
IDBI BANK,2010-02-01,2010,2,February,134475,5724.539,111339,8092.993,245814,13817.532,0.042569540806841416,0.07268785421101322,2368.4540000000006
INDIAN BANK,2010-02-01,2010,2,February,53277,1514.932,157546,4932.96,210823,6447.892,0.028435009478761944,0.0313112360834296,3418.0280000000002
INDIAN OVERSEAS BANK,2010-02-01,2010,2,February,64262,16858.021,106701,5801.022,170963,22659.043,0.2623326538234104,0.05436708184553097,-11056.999
